timestamp, uuid, name, clocks.current.graphics [MHz], clocks.current.memory [MHz], clocks.max.graphics [MHz], temperature.gpu, power.draw [W], power.limit [W], utilization.gpu [%], utilization.memory [%], clocks_event_reasons.gpu_idle, clocks_event_reasons.sw_power_cap, clocks_event_reasons.hw_slowdown, clocks_event_reasons.hw_thermal_slowdown, clocks_event_reasons.sw_thermal_slowdown, clocks_event_reasons.active
2026/09/14 17:48:43.077, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2520 MHz, 10251 MHz, 3105 MHz, 75, 449.16 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/14 17:48:48.086, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2490 MHz, 10251 MHz, 3105 MHz, 75, 449.61 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/14 17:48:53.090, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2490 MHz, 10251 MHz, 3105 MHz, 75, 449.54 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/14 17:48:58.096, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2475 MHz, 10251 MHz, 3105 MHz, 75, 449.64 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/14 17:49:03.100, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2475 MHz, 10251 MHz, 3105 MHz, 75, 449.40 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/14 17:49:08.112, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2505 MHz, 10251 MHz, 3105 MHz, 76, 449.72 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/14 17:49:13.114, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2475 MHz, 10251 MHz, 3105 MHz, 76, 449.68 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/14 17:49:18.119, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2460 MHz, 10251 MHz, 3105 MHz, 75, 449.80 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/14 17:49:23.121, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2490 MHz, 10251 MHz, 3105 MHz, 75, 449.81 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/14 17:49:28.132, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2505 MHz, 10251 MHz, 3105 MHz, 75, 449.51 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/14 17:49:33.148, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2475 MHz, 10251 MHz, 3105 MHz, 76, 449.64 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/14 17:49:38.159, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2475 MHz, 10251 MHz, 3105 MHz, 76, 449.84 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/14 17:49:43.174, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2475 MHz, 10251 MHz, 3105 MHz, 75, 449.65 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/14 17:49:48.189, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2475 MHz, 10251 MHz, 3105 MHz, 76, 449.86 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/14 17:49:53.190, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2475 MHz, 10251 MHz, 3105 MHz, 76, 449.86 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/14 17:49:58.192, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2475 MHz, 10251 MHz, 3105 MHz, 76, 449.77 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/14 17:50:03.198, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2475 MHz, 10251 MHz, 3105 MHz, 75, 449.70 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/14 17:50:08.204, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2460 MHz, 10251 MHz, 3105 MHz, 75, 449.95 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/14 17:50:13.206, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2490 MHz, 10251 MHz, 3105 MHz, 76, 449.96 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/14 17:50:18.208, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2490 MHz, 10251 MHz, 3105 MHz, 75, 449.44 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/14 17:50:23.208, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2460 MHz, 10251 MHz, 3105 MHz, 75, 449.54 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/14 17:50:28.224, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2460 MHz, 10251 MHz, 3105 MHz, 75, 449.79 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/14 17:50:33.225, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2460 MHz, 10251 MHz, 3105 MHz, 75, 449.74 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/14 17:50:38.230, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2490 MHz, 10251 MHz, 3105 MHz, 75, 449.60 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/14 17:50:43.244, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2490 MHz, 10251 MHz, 3105 MHz, 75, 450.12 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/14 17:50:48.255, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2460 MHz, 10251 MHz, 3105 MHz, 75, 449.57 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/14 17:50:53.261, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2460 MHz, 10251 MHz, 3105 MHz, 75, 449.63 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/14 17:50:58.263, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2475 MHz, 10251 MHz, 3105 MHz, 75, 449.23 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/14 17:51:03.273, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2490 MHz, 10251 MHz, 3105 MHz, 75, 449.65 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/14 17:51:08.286, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2475 MHz, 10251 MHz, 3105 MHz, 75, 449.76 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/14 17:51:13.286, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2460 MHz, 10251 MHz, 3105 MHz, 75, 449.65 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/14 17:51:18.289, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2475 MHz, 10251 MHz, 3105 MHz, 75, 449.44 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/14 17:51:23.294, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2490 MHz, 10251 MHz, 3105 MHz, 75, 449.70 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/14 17:51:28.301, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2490 MHz, 10251 MHz, 3105 MHz, 75, 449.35 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/14 17:51:33.317, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2490 MHz, 10251 MHz, 3105 MHz, 75, 449.98 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/14 17:51:38.325, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2475 MHz, 10251 MHz, 3105 MHz, 75, 449.98 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/14 17:51:43.329, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2460 MHz, 10251 MHz, 3105 MHz, 75, 449.99 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/14 17:51:48.331, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2460 MHz, 10251 MHz, 3105 MHz, 75, 449.78 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/14 17:51:53.347, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2505 MHz, 10251 MHz, 3105 MHz, 74, 449.74 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
2026/09/14 17:51:58.355, GPU-5b052ad1-4272-40db-4b25-c930bf32b547, NVIDIA GeForce RTX 4090, 2475 MHz, 10251 MHz, 3105 MHz, 75, 449.53 W, 450.00 W, 100 %, 22 %, Not Active, Active, Not Active, Not Active, Not Active, 0x0000000000000004
